Material_ID,Bulk_Modulus_K,Shear_Modulus_G,Young_Modulus_E,Poisson_Ratio,Material Class
mp-1018641,96.01971278,73.08561946,174.8853897,0.196441865,Metals
mp-10600,58.82874396,34.5319459,86.64295761,0.25453338,Metals
mp-10675,162.6487367,43.91785578,120.8742195,0.376139811,Metals
mp-3271,153.1585838,105.0652558,256.5355045,0.220838908,Metals
mp-4079,100.3580783,84.3930263,197.7488237,0.171594576,Metals
mp-4448,79.68404749,64.14981465,151.7320413,0.18263819,Metals
mp-4505,66.11677876,43.90495372,107.8436182,0.228148638,Metals
mp-4593,235.0767432,134.1363856,338.1014885,0.260289992,Metals
mp-5323,191.9641942,57.81372295,157.6179403,0.363153351,Metals
mp-570822,76.35492308,58.9941388,140.7366176,0.192801695,Metals
mp-571330,63.96491765,43.53190671,106.4477298,0.222640332,Metals
mp-978862,121.6030555,36.7703296,100.2104447,0.362653609,Metals
mp-10872,142.0574656,24.56263894,69.67232108,0.418258055,Metals
mp-10873,114.6286168,20.80256896,58.8478444,0.41443695,Metals
mp-10883,199.3033282,107.9241198,274.266609,0.270645569,Metals
mp-10884,187.7055779,111.5490873,279.3167628,0.251990355,Metals
mp-10887,134.1594438,60.76440379,158.3814747,0.303242234,Metals
mp-10891,145.342699,55.27901713,147.1780315,0.33122873,Metals
mp-10893,179.0731253,40.83992299,113.8637402,0.394024913,Metals
mp-10894,185.1605643,97.72469899,249.3129977,0.275588466,Metals
mp-10895,185.3858977,100.2065527,254.7243191,0.270996318,Metals
mp-10898,129.6872168,59.23774699,154.2304255,0.301791791,Metals
mp-10899,167.3012203,74.15644204,193.8307629,0.306904414,Metals
mp-11537,230.4758369,116.917556,300.0204418,0.283042736,Metals
mp-11947,71.27041648,40.06245203,101.2212318,0.263293017,Metals
mp-16482,138.4553211,39.11354203,107.2420244,0.370906581,Metals
mp-16497,106.6967619,54.92209277,140.6355847,0.28031888,Metals
mp-16501,156.9360018,9.328502294,27.44178054,0.470856718,Metals
mp-16524,129.9423667,43.40429745,117.1672102,0.349719003,Metals
mp-31169,93.14299512,38.89563556,102.4290984,0.31671712,Metals
mp-31185,204.2284192,138.2088792,338.3108429,0.22391139,Metals
mp-3340,203.1111378,106.1215569,271.142475,0.277508939,Metals
mp-3574,125.3809125,67.18448729,171.008832,0.272680933,Metals
mp-3623,188.1694878,114.1893672,284.9317972,0.24762841,Metals
mp-3736,127.3557177,51.59428716,136.3677785,0.321539515,Metals
mp-3909,162.7893634,79.40914304,204.9090167,0.290210478,Metals
mp-3944,151.4138676,8.223039492,24.23047924,0.473328644,Metals
mp-4771,134.4829872,70.41137829,179.8466451,0.277113511,Metals
mp-4813,181.8218056,58.52720047,158.5676524,0.354649216,Metals
mp-4922,158.5394156,77.73498259,200.44435,0.289280214,Metals
mp-4955,195.1767963,105.2270405,267.5916059,0.271496398,Metals
mp-5149,195.1570679,97.15759672,249.987878,0.28650711,Metals
mp-5221,172.0383778,90.50498417,231.0061468,0.276206769,Metals
mp-5407,179.9625123,100.8232769,254.8726951,0.263957604,Metals
mp-541047,148.8272581,-23.10739873,-73.1057403,0.581868672,Unknown
mp-5491,121.1180608,28.63071313,79.61854766,0.390439478,Metals
mp-5748,160.6449361,37.85635608,105.2978405,0.390755099,Metals
mp-5778,220.8993822,137.8188147,342.2748454,0.2417566,Metals
mp-5921,192.4089417,63.94714934,172.708242,0.350398288,Metals
mp-672259,230.2559829,74.28957639,201.22745,0.354345117,Metals
mp-7187,164.6444687,67.84542907,178.9554275,0.318846604,Metals
mp-861627,150.3369052,41.04074581,112.8529285,0.374888861,Metals
mp-861637,159.8152656,64.46517268,170.4739809,0.322217671,Metals
