Material,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66
JVASP-8134,395.8,27.0,27.0,-0.0,-0.0,-0.0,27.0,395.8,27.0,-0.0,0.0,0.0,27.0,27.0,395.8,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-6.4,-0.0,-0.0,-0.0,0.0,0.0,0.0,-6.4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-6.4
JVASP-117512,345.3,113.6,8.3,0.0,0.0,0.0,113.6,345.3,8.3,-0.0,-0.0,0.0,8.3,8.3,108.2,0.0,-0.0,0.0,0.0,-0.0,0.0,115.9,0.0,0.0,0.0,0.0,-0.0,0.0,-21.8,0.0,0.0,0.0,0.0,0.0,0.0,-21.8
JVASP-93377,866.4,209.9,10.3,-0.0,0.0,-0.0,209.9,771.7,166.7,0.0,-0.0,0.0,10.3,166.7,987.0,0.0,-0.0,0.0,-0.0,0.0,0.0,426.9,0.0,0.0,0.0,-0.0,-0.0,0.0,459.9,0.0,-0.0,0.0,0.0,0.0,0.0,287.7
JVASP-52866,501.8,111.0,75.0,0.0,-14.6,-0.0,111.0,501.8,75.0,-0.0,14.6,0.0,75.0,75.0,526.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,195.4,-0.0,-14.6,-14.6,14.6,0.0,-0.0,147.9,-0.0,-0.0,0.0,-0.0,-14.6,-0.0,147.9
JVASP-9163,0.0,1.6209256159527285e-14,4.218847493575595e-15,1.6209256159527285e-14,2.8199664825478976e-14,3.241851231905457e-14,0.0,-4.2188474935755964e-15,1.1990408665951694e-14,2.398081733190338e-14,2.8199664825478976e-14,1.199040866595169e-14,0.0,-1.199040866595169e-14,-1.6209256159527285e-14,1.620925615952729e-14,3.1554436208840472e-30,1.199040866595169e-14,3.241851231905457e-14,1.6209256159527285e-14,2.8199664825478976e-14,1.6209256159527285e-14,4.218847493575595e-15,-1.222002549713701e-31,2.398081733190338e-14,2.8199664825478976e-14,1.199040866595169e-14,0.0,-4.218847493575596e-15,1.1990408665951692e-14,3.1554436208840472e-30,1.1990408665951692e-14,1.6209256159527285e-14,-1.620925615952729e-14,-4.1339712693580465e-31,-1.1990408665951689e-14
JVASP-137772,545.7,28.2,101.0,0.2,7.7,16.2,28.2,547.9,94.6,-2.7,6.7,16.0,101.0,94.6,412.4,3.4,8.1,20.0,0.2,-2.7,3.4,26.4,-1.7,-0.1,7.7,6.7,8.1,-1.7,12.1,2.5,16.2,16.0,20.0,-0.1,2.5,15.5
JVASP-137773,750.9,-12.8,144.7,-0.0,0.0,0.0,-12.8,40.2,1.9,0.0,0.0,0.0,144.7,1.9,566.5,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.1,0.0,0.0,0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,-0.0,0.0,0.0,253.5
JVASP-137775,373.5,158.5,-0.8,-0.0,0.0,0.0,158.5,703.9,12.4,-0.0,0.0,0.0,-0.8,12.4,20.7,0.0,0.0,0.0,-0.0,-0.0,0.0,-231.2,-0.0,0.0,0.0,0.0,0.0,-0.0,-23.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
JVASP-137779,41.6,-1.1,-1.5,0.0,-0.0,-0.0,-1.1,41.6,-1.5,0.0,-0.0,-0.0,-1.5,-1.5,1128.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,0.0,0.0,-0.0,-0.0,0.0,0.0,0.6,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.6
JVASP-137780,309.2,153.0,128.1,-0.0,-91.3,-0.0,153.0,302.4,247.5,-0.0,-144.7,0.0,128.1,247.5,296.5,0.0,42.9,-0.0,-0.0,-0.0,0.0,-144.9,-0.0,121.2,-91.3,-144.7,42.9,-0.0,116.6,0.0,-0.0,0.0,-0.0,121.2,0.0,-28.0
JVASP-137781,273.4,34.5,70.6,1.1,8.1,2.4,34.5,235.0,164.3,0.5,-41.8,0.1,70.6,164.3,618.3,-5.2,-105.9,-1.9,1.1,0.5,-5.2,24.1,-0.7,-0.7,8.1,-41.8,-105.9,-0.7,121.6,-0.3,2.4,0.1,-1.9,-0.7,-0.3,79.3
JVASP-62756,883.0,198.2,1.1,-0.0,0.0,-0.0,198.2,883.0,1.1,0.0,0.0,0.0,1.1,1.1,36.7,0.0,0.0,0.0,-0.0,0.0,0.0,342.4,-0.0,-0.0,-0.0,0.0,0.0,-0.0,5.5,0.0,-0.0,-0.0,0.0,0.0,0.0,5.5
JVASP-62906,849.2,102.2,55.8,-0.0,14.0,-0.0,102.2,551.0,58.6,-0.0,46.9,0.0,55.8,58.6,334.8,0.0,22.3,-0.0,-0.0,-0.0,0.0,215.5,0.0,17.4,14.0,46.9,22.3,0.0,24.3,-0.0,-0.0,0.0,-0.0,17.4,-0.0,132.6
JVASP-62618,883.8,198.4,1.1,0.0,0.0,-0.0,198.4,883.8,1.1,-0.0,0.0,-0.0,1.1,1.1,37.1,0.0,-0.0,-0.0,0.0,-0.0,0.0,342.7,0.0,-0.0,-0.0,0.0,-0.0,0.0,5.6,-0.0,-0.0,0.0,-0.0,0.0,-0.0,5.6
JVASP-22673,886.4,201.1,-0.4,-0.0,0.0,-0.0,201.1,886.4,-0.4,0.0,0.0,0.0,-0.4,-0.4,37.4,-0.0,0.0,0.0,-0.0,0.0,-0.0,342.6,-0.0,0.0,0.0,0.0,0.0,-0.0,5.6,0.0,-0.0,0.0,0.0,0.0,0.0,5.6
JVASP-62778,883.8,198.5,1.1,-0.0,0.0,-0.0,198.5,883.8,1.1,0.0,-0.0,-0.0,1.1,1.1,37.1,0.0,0.0,0.0,-0.0,0.0,-0.0,342.7,0.0,-0.0,0.0,0.0,-0.0,0.0,5.6,-0.0,0.0,-0.0,0.0,-0.0,-0.0,5.6
JVASP-62940,883.8,198.4,1.1,0.0,-0.0,-0.0,198.4,883.8,1.1,-0.0,-0.0,-0.0,1.1,1.1,37.1,0.0,-0.0,-0.0,0.0,-0.0,0.0,342.7,-0.0,0.0,-0.0,0.0,-0.0,-0.0,5.6,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,5.6
JVASP-63743,879.8,200.0,-2.6,-0.0,0.0,-0.0,200.0,879.8,-2.6,0.0,0.0,0.0,-2.6,-2.6,36.7,-0.0,-0.0,0.0,-0.0,0.0,-0.0,339.9,0.0,0.0,-0.0,-0.0,-0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2
