Material,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66,Bulk Modulus (K),Shear Modulus (G),Young Modulus (E),Poisson's Ratio (v)
JVASP-116386,237.2,80.4,80.4,0,0,0,80.4,237.2,80.4,0,0,0,80.4,80.4,237.2,0,0,0,0,0,0,49.8,0,0,0,0,0,0,49.8,0,0,0,0,0,0,49.8,132.6666667,61.24,159.2207996,0.29997387
JVASP-29571,54.6,22,20.4,0,9.1,0,22,54.6,20.4,0,-9.1,0,20.4,20.4,31.9,0,0,0,0,0,0,16.3,0,9.1,9.1,-9.1,0,0,18,0,0,0,0,9.1,0,18,29.63333333,15.68,39.98714859,0.275100402
JVASP-12475,66.7,17.9,21.9,0,12.8,0,17.9,66.7,21.9,0,-12.8,0,21.9,21.9,37,0,0,0,0,0,0,24.4,0,12.8,12.8,-12.8,0,0,24.7,0,0,0,0,12.8,0,24.7,32.64444444,22.00666667,53.90660886,0.224779056
JVASP-117745,95.6,10.9,3.7,0,-1.6,0,10.9,20.9,-7.5,0,-1.1,0,3.7,-7.5,38.9,0,-0.7,0,0,0,0,6.3,0,-0.8,-1.6,-1.1,-0.7,0,17.8,0,0,0,0,-0.8,0,4.6,18.84444444,15.62666667,36.72786401,0.175166297
JVASP-29647,81.2,23.4,26.2,0,-13.8,0,23.4,81.2,26.2,0,13.8,0,26.2,26.2,46.6,0,0,0,0,0,0,28.9,0,-13.8,-13.8,13.8,0,0,28.1,0,0,0,0,-13.8,0,28.1,40.06666667,25.9,63.92566735,0.234086242
JVASP-138262,81.8,1.8,2.4,0,0,0,1.8,81.8,2.4,0,0,0,2.4,2.4,72.7,0,0,0,0,0,0,-3.8,0,0,0,0,0,0,1.2,0,0,0,0,0,0,1.2,27.72222222,15.03333333,38.19568907,0.270366599
JVASP-105981,81.9,49.5,9,0,0,0,49.5,81.9,9,0,0,0,9,9,122,0,0,0,0,0,0,56.8,0,0,0,0,0,0,14.6,0,0,0,0,0,0,14.6,46.75555556,31.75333333,77.67586715,0.223113591
JVASP-85486,116.9,55.6,48,0.1,-11.7,0.1,55.6,104.8,62.2,0.2,7.4,0.2,48,62.2,183.6,0.2,6.9,0.1,0.1,0.2,0.2,29.6,0,-0.2,-11.7,7.4,6.9,0,52.1,0.1,0.1,0.2,0.1,-0.2,0.1,26.3,81.87777778,37.56666667,97.75027072,0.301024011
JVASP-115285,73.8,65.9,36.6,0,0,0,65.9,73.8,36.6,0,0,0,36.6,36.6,77.1,0,0,0,0,0,0,-2.9,0,0,0,0,0,0,9.4,0,0,0,0,0,0,9.4,55.87777778,8.886666667,25.31783745,0.424484478
JVASP-115286,86.4,9.1,1.4,0,0,0,9.1,86.4,1.4,0,0,0,1.4,1.4,83.2,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,4,0,0,0,0,0,0,4,31.08888889,17.37333333,43.93581586,0.264461316
JVASP-115287,116.6,-1.3,-1.3,0,-0.4,0,-1.3,55.8,49.8,0,-6.5,0,-1.3,49.8,74.9,0,-5.7,0,0,0,0,2.5,0,-0.5,-0.4,-6.5,-5.7,0,21.8,0,0,0,0,-0.5,0,1.6,37.96666667,18.52,47.78948799,0.290212959
JVASP-115288,-22.2,158.9,35,0,0,0,158.9,-22.2,35,0,0,0,35,35,77.4,0,0,0,0,0,0,-90.5,0,0,0,0,0,0,3.5,0,0,0,0,0,0,3.5,54.53333333,-29.76,-109.1318589,0.833532576
JVASP-104705,90.3,54.4,13.8,0,0,0,54.4,90.3,13.8,0,0,0,13.8,13.8,131,0,0,0,0,0,0,58.6,0,0,0,0,0,0,17.7,0,0,0,0,0,0,17.7,52.84444444,34.10666667,84.20437431,0.23442691
JVASP-107533,87.4,53,12.3,0,0,0,53,87.4,12.3,0,0,0,12.3,12.3,128.6,0,0,0,0,0,0,57.7,0,0,0,0,0,0,17.1,0,0,0,0,0,0,17.1,50.95555556,33.43333333,82.30019682,0.230810521
JVASP-12334,96.3,43.6,22.5,0,-5.7,0,43.6,91.9,34.6,0,-2.8,0,22.5,34.6,84.7,0,-9.4,0,0,0,0,23.9,0,-11,-5.7,-2.8,-9.4,0,22.5,0,0,0,0,-11,0,10.7,52.7,22.9,60.00812155,0.310220994
